,time,lng,lat,elev,dist_cum,kmph,rouad_grad_deg_f
4,154.26024715464712,2.61141,48.59605,88.45,4948.178222974009,122.09976515112096,-0.11127347843505317
5,456.8342663361719,2.74626,48.57555,87.08,15125.653608269298,121.09073834618323,-0.0077126413464208435
6,459.19624924827934,2.747,48.57503,86.87,15205.072138789048,121.04520672251826,-0.15150224483752428
7,462.31892381579615,2.74796,48.57434,86.51,15309.356200409287,120.22470280385278,-0.1977905191757814
8,464.04927581475187,2.74849,48.57395,86.37,15367.675188399984,121.33274437410417,-0.1375434313860388
9,471.1674598266291,2.75057,48.57229,85.3,15607.448827768765,121.26479173442543,-0.25568314051127033
10,472.72638933777387,2.75101,48.57192,84.99,15659.801335174468,120.89643907128078,-0.3392671132896086
11,475.2743576218506,2.75175,48.57132,84.32,15745.917422156108,121.67259501279084,-0.4457633768967484
12,484.00992307809815,2.75423,48.56927,82.36,16037.912625019664,120.33367909309308,-0.3845886513422138
13,492.00861413438537,2.75652,48.56739,80.46,16306.419892578551,120.84804331231173,-0.40542725394129026
14,495.00940365442904,2.75738,48.56668,79.59,16407.603316055163,121.38816204293587,-0.4926310863629085
15,498.5422237569731,2.7584,48.56585,78.91,16526.56353578379,121.22236020867597,-0.3275103712460224
16,501.07505337292633,2.75913,48.56525,78.26,16612.220232257547,121.7468815759535,-0.4347767703511279
17,504.0757346192788,2.76,48.56455,77.6,16713.00436776473,120.91350531380107,-0.37520462656262077
18,508.42135513721854,2.76124,48.56352,76.74,16859.442693298253,121.31247303909242,-0.3364816125150761
19,511.5837462204915,2.76215,48.56278,76.44,16965.53288021796,120.77085434849778,-0.16201958482185075
20,532.6209267528327,2.76822,48.5578,82.91,17677.02947621228,121.75527712194331,0.5210052697100593
21,534.2877878284735,2.76871,48.55741,83.56,17733.434377125257,121.82037618741485,0.6602371006888953
22,541.8354485044031,2.77082,48.55563,85.54,17985.018182361244,119.99767050179604,0.45091654916142226
23,545.7731273295506,2.77192,48.5547,85.57,18116.35125066933,120.07049505653698,0.013087894599882953
24,549.4329735163103,2.77295,48.55384,85.38,18238.382809700408,120.03608624351352,-0.08920798355173648
25,608.4340510454339,2.79193,48.54119,91.2,20220.953793483528,120.96822364127515,0.16819598471624994
26,620.033367326608,2.79597,48.53897,92.32,20607.480838166393,119.96373985566231,0.166019672731089
27,625.4343185241615,2.79767,48.5378,92.99,20788.01132544848,120.33246190224618,0.21263996239618288
28,629.679814787306,2.79901,48.53687,93.53,20930.936737994867,121.1946621255302,0.21647356595401013
29,644.5324628551281,2.80366,48.53365,95.24,21426.336282839893,120.07544737465841,0.19777045593638332
30,646.7746855398387,2.80437,48.53316,95.35,21501.84591727991,121.23447231073561,0.08346658456009197
31,653.4879225627059,2.80647,48.53169,96.61,21726.856470387167,120.66280222594814,0.32083796346601806
32,657.5735090054617,2.80776,48.5308,97.39,21864.032309792976,120.8720042471576,0.32578788345628185
33,675.1968901664801,2.8132,48.5269,101.17,22454.412346803,120.59933980984594,0.3668401260016183
34,676.8148657838175,2.81368,48.52653,101.62,22508.655690299616,120.69158181083854,0.47531194899172186
35,682.1370314349497,2.81522,48.52528,102.73,22688.049424957935,121.34485980017605,0.3545135161695057
36,693.6966361642266,2.81839,48.52248,103.25,23077.199716575407,121.1928160722268,0.07656113397785647
37,698.373564636235,2.8196,48.52131,103.31,23234.892021875396,121.38143708581671,0.02180034465442002
